Achei_only_incZ,Achei_only_decZ,Nic_only_incZ,Nic_only_decZ,ALE_inc3,ALE_dec3
,,0.74119127,0.33211055,0.0,0.0
,,0.3482312,0.3949007,0.0,0.0
,,0.80567294,0.75039095,0.0,0.0
,0.14054117,0.87804633,0.43769202,0.0,0.0
0.47067782,0.07316089,0.6093671,0.7121044,1.0,0.0
0.09830698,0.08067292,0.41201735,0.46396732,0.06325266,0.0
,0.19340795,0.5584838,0.35638255,0.0,0.0
0.47621867,0.05767557,0.44333822,0.45349002,0.37429962,0.0
0.6705117,,0.22669269,0.512176,0.0,0.0
,0.2206738,,,0.0,0.0
,0.13059714,0.5033643,0.5909283,0.0,0.0
0.26825348,0.1857732,0.577637,0.27498507,0.0,0.0
0.31842563,0.14697099,0.78171545,0.2887659,0.7675095,0.0
0.4835702,,0.24468563,,0.0,0.0
,0.3626298,0.28559935,,0.0,0.0
0.4667386,,0.33546495,,0.0,0.0
0.097902864,0.36296985,0.75289184,0.328513,0.0,0.0
,0.4222037,0.32873076,0.21059489,0.0,0.04530275
,0.26876077,0.1874446,0.26591015,0.0,0.21113946
,0.16258678,,0.41602683,0.0,0.0
,0.25091106,0.1320954,0.59438235,0.0,0.0
0.14888567,0.42451045,0.18987869,0.4642548,0.0,0.0
,0.389829,0.48242044,0.22899121,0.0,0.0
0.10850307,0.46477994,0.16434686,0.21596782,0.0,0.0
,0.39476088,0.5510446,0.7446195,0.0,1.0
,0.2246244,0.16413099,0.52366054,0.0,0.35722962
,0.28925654,0.89175,0.5711739,0.0,0.39265656
,0.2972208,0.38569558,0.3917994,0.0,0.057551462
,0.3739291,0.40217102,0.44505116,0.0,0.0
,0.5816505,0.30045462,0.23620117,0.0,0.0
0.18475959,0.17385396,0.5010714,,0.0,0.0
0.3221142,,0.22677018,0.49565473,0.0,0.0
0.13978785,0.22198105,,0.26693663,0.0,0.0
0.13905627,0.08957571,,0.7253456,0.0,0.0
,0.3424534,,0.5025776,0.0,0.0
,0.31838873,0.13866797,,0.0,0.0
,0.039491087,0.27202755,0.33557343,0.0,0.0
,0.1955148,0.15903409,,0.0,0.0
0.29336253,0.03584373,0.99999994,0.688227,0.0,0.0
,0.12994573,0.27344942,0.39502442,0.0,0.0
,,0.55224115,0.15942386,0.0,0.0
0.4792637,,0.5328128,0.13436706,0.0,0.0
,0.16404587,0.17901586,0.90732026,0.0,0.0
,,,0.37774548,0.0,0.0
