IncACh_ALE,IncACh_FWE,IncACh_Z,binInAch_FWE,nonMACMDecACh_FWE,binDeAch_FWE,MACMDDecACh_FWE,MACMDDecACh_Z,MACMDComACh_FWE,MACMDComACh_Z,MACMDNbM_Z,MACMDNbMSep_Z,AchInc_ALE05d3,AchDec_ALE05d3
0.01624385,0.0,0.18097931,0.0,0.0,0.0,0.0,0.091034,0.0,0.09919737,0.24654923,0.24980451,0.0,0.0
0.00845755,0.0,0.14520334,0.0,0.0,0.0,0.0,0.21924645,0.0,0.23407732,0.2759355,0.29032373,0.0,0.0
0.009309754,0.0,0.14773759,0.0,0.0,0.0,0.0,0.20642309,0.0,0.22648662,0.20844339,0.21561602,0.0,0.0
0.0015137705,0.0,,0.0,0.0,0.0,0.0,0.26870742,0.0,0.30512938,0.210219,0.22692692,0.0,0.0
7.7228666e-05,0.0,,0.0,0.0,0.0,0.0,0.24525373,0.0,0.25802958,0.3731631,0.38109946,0.0,0.0
0.24688508,0.0,0.4592076,0.0,0.0,0.0,0.0,0.18702006,0.0,0.20148829,0.35054323,0.36679697,0.0,0.0
1.9129011e-05,0.0,,0.0,0.0,0.0,0.0,0.2650914,0.0,0.275268,0.18390673,0.18642208,0.0,0.0
0.00046734948,0.0,0.0010231137,0.0,0.0,0.0,0.0,0.16633388,0.0,0.1795966,0.22104001,0.22411847,0.0,0.0
5.4286164e-07,0.0,,0.0,0.0,0.0,0.0,0.16581137,0.0,0.18558368,0.10104112,0.103474036,0.0,0.0
0.00012290892,0.0,,0.0,0.0,0.0,0.0,0.13590477,0.0,0.18262063,0.2540645,0.25738156,0.0,0.0
1.9599185e-10,0.0,,0.0,0.0,0.0,0.0,0.15494299,0.0,0.17014995,0.07947257,0.08345392,0.0,0.0
1.0639819e-17,0.0,,0.0,0.0,0.0,0.0,0.02851957,0.0,0.030892521,0.19796471,0.20091417,0.0,0.0
2.851622e-06,0.0,,0.0,0.0,0.0,0.0,0.19056457,0.0,0.20492224,0.23660514,0.2419573,0.0,0.0
0.026827175,0.0,0.21807164,0.0,0.0,0.0,0.0,0.17393555,0.0,0.1963327,0.25594702,0.2653683,0.0,0.0
0.00025640745,0.0,,0.0,0.0,0.0,0.0,0.19684371,0.0,0.2647701,0.3845142,0.45465115,0.0,0.0
0.0013407875,0.0,,0.0,0.0,0.0,0.0,0.17699268,0.0,0.21225148,0.2928939,0.2960667,0.0,0.0
1.7910196e-06,0.0,,0.0,0.0,0.0,0.0,0.16343172,0.0,0.18195707,0.39166272,0.39204776,0.0,0.0
0.0032584344,0.0,0.077409044,0.0,0.0,0.0,0.0,0.11042423,0.0,0.11728327,0.21757156,0.221338,0.0,0.0
0.0008991458,0.0,,0.0,0.0,0.0,0.0,0.27642775,0.0,0.29295343,0.18684757,0.25827366,0.0,0.0
9.709588e-06,0.0,,0.0,0.0,0.0,0.0,0.25487235,0.0,0.27768373,0.33881128,0.34077677,0.0,0.0
3.6391205e-07,0.0,,0.0,0.0,0.0,0.0,0.22227313,0.0,0.2696903,0.23422554,0.23740424,0.0,0.0
4.5293196e-05,0.0,,0.0,0.0,0.0,0.0,0.14010598,0.0,0.15646882,0.15102872,0.15323925,0.0,0.0
0.641317,0.0,0.76432115,0.0,0.0,0.0,0.0,0.31929967,0.0,0.35955626,0.43911216,0.44146276,0.0,0.0
2.717495e-11,0.0,,0.0,0.0,0.0,0.0,0.18430285,0.0,0.1930139,0.16898993,0.2583745,0.0,0.0
